num,player,text
0,0,나의 관심사는 오직 ‘황금 죽순’  뿐 !
1,0,"어렸을 때부터, 엄마의 사랑을 듬뿍 받은 엄마 껌딱지 아기 판다 ! "
2,0,
3,0,
4,0,하지만 지금은 떼쓰고 말 안 듣는 철부지 ?!
5,0,
6,0,말썽쟁이 아들 탓에 하루도 편안한 날이 없는 엄마 판다 !
7,0,"매일 같은 잔소리로 혼을 내지만, 사실은 머릿속엔 온통 아들 생각 뿐인 따뜻한 마음씨의 소유자 "
8,0,
9,0,분명 오늘도 똑같은 꿈이었다..
10,0,얼마 전부터 계속 ‘황금 죽순’이 자꾸만 꿈속에 나타나는데..!
11,0,정말 ‘황금 죽순’이 실제로 존재하는 게 아닐까 ..?
12,0,
13,0,그리고 며칠 후…
14,0,
15,0,엄마 판다 : (우당탕탕) 야 !! (닉네임) 너 낮에 엄마가 죽순 심부름 시킨 거 했어 안했어 !!
16,0,(닉네임) : (한숨 쉬며) 아 이것만 보고 나중에 할게!! ~
17,0,엄마 판다 : 어휴 .. 진짜 저 녀석이 정말 !
18,0,
19,0,(닉네임) : (엄마의 잔소리를 들은 체 만체한다)
20,0,
21,0,고집 고 스스로 살 만큼 살았다고 생각하는 사춘기 아기 판다 (닉네임)
22,0,"항상 엄마 품에서 떨어지지 않으려고 했던 어린 시절도 잠시, "
23,0,지금은 말도 듣지 않고 그저 잔소리만 늘어놓는 엄마가 밉기만 하다.
24,0,"엄마 판다 : (집을 나서는 엄마) 너 엄마가 집에 돌아올 때까지, "
25,0,죽순 안 가져오면 아주 혼날 줄 알아 ! 알았어?!  (쾅! 소리와 함께 세차게 문을 닫는다)
26,0,
27,0,
28,0,(닉네임) : (혼잣말로) 휴 .. 그놈의 잔소리 잔소리 !! 알아서 다 할 건데 왜 자꾸 간섭하는 거야 ㅡㅡ
29,0,
30,0,"(TV에서) : 여러분, 한 번쯤 꿈꿔보지 않으셨나요? 누군가의 간섭 없이 하루 종일 누워있어도 뭐라 하는 사람 없고, "
31,0,하루 3끼 전부 알아서 준비 해주는 죽순 서비스와 심지어 후식으로 워토우와 당근까지..!!
32,0,
33,0,이러한 럭셔리한 삶 ! 인생 한방의 기회 ! 여러분도 그 주인공이 될 수 있습니다 !!
34,0,당신을 ‘판다 월드’로 초대합니다. 지금 바로 도전하세요! 
35,0,‘전설의 황금 죽순을 찾아라 !’
36,0,
37,0,(닉네임) : (놀란 표정으로) ㅇ.. 아.. 아니.. 정말 ‘황금 죽순’이 존재한 거야 ?
38,0,
39,0,황금 죽순을 찾으면 (엄청난 상금을 얻을 수 있다는 얘기 or 3가지 소원을 들어줌)에 
40,0,(닉네임)은 잠시 멋지고 두근거리는 자기만의 세계를 상상하게 된다.
41,0,
42,0,
43,0,"(닉네임) : (무언가 확신한 표정으로) 그래, 나 결심했어 ! 황금 죽순을 찾아서 이 집을 벗어나고 말 테야 !!"
44,0,
45,0,그렇게 엄마와 있기 싫은 '판다'는 무작정 집을 나서게 된다.
46,0,그렇게 자신의 운명을 바꿔줄 ‘전설의 황금 죽순’을 찾아 기상천외한 모험을 떠나게 되는데 .. 
47,0,과연 사고뭉치 아기 판다는 황금 죽순을 찾아 무사히 집으로 돌아올 수 있을 것인가?
48,0,
49,0,그럼 이제 죽순을 찾으러 떠나볼까?
50,0,
