num,text,image_num,font_size,pos_y
0,,,,
1,고대유적지에 들어선 아기판다는 그 신비로운 분위기에 압도되었다.,,,
2,,1,,
3,오래된 유적들과 비밀스러운 문양들이 가득한 벽면이 ,,,
4,마치 어딘가에 숨겨진 보물의 흔적을 암시하는 듯하다.,,,
5,,,,1
6,,,,
7,아기판다 : 정말 신비로운 곳이야.. 대체 언제 만들어진 걸까?,,,
8,,2,,
9,,,,
10,유적 속으로 발걸음을 옮기며 자세히 살펴보는 아기 판다,,,
11,,,,
12,,,,
13,아기판다 : 정말 이 유적에는 낙원으로 향하는 길이 있을 것만 같아!,,,
14,,3,,
15,,,,
16,드디어 황금 죽순이 눈 앞으로 다가왔어.. 이 모험의 끝이 다가오는 거야..!!,,,
17,,,,
18,,,,
19,아기판다는 엄청난 기대감에 두근거리는 마음을 주체하지 못하는데..,,,
20,,,,
21,,,,
22,아기판다 : 그런데 대체 어느 곳으로 가라는 거야?! 너무 복잡하잖아!!!!,,,
23,,4,,
24,아기판다 : 아니야.. 지금까지 나는 스스로 길을 찾아왔어.,,,
25,이번에도 내 감각을 믿는 거야!,,,
26,,5,,1
27,미로처럼 복잡한 고대유적지 안에서 아기판다는 ,,,
28,자신의 감을 믿고 앞으로 나아간다.,,,
29,,,,1
30,,,,
31,거대한 문양으로 덮인 문과 오래된 보물상자,,,
32,,6,,
33,,,,
34,마침내 고대유적지의 깊은 곳에 도착한 아기판다,,,
35,,,,
36,,,,
37,그 곳에는 거대한 문양으로 덮인 문과 오래된 보물 상자가 존재했다.,,,
38,,,,
39,,,,
40,아기판다 : 상자..? 저기에 들어있는 게 낙원으로 향할 수 있는 힌트가 분명해!,,,
41,,,,
42,보물 상자에서 낡은 지도를 꺼낸 아기 판다.,,,
43,지도에는 알 수 없는 글자들과 낙원으로 추정되는 곳이 그려져있다.,,,
44,,7,,1
45,아기판다 : 이곳이 낙원... 한 번도 본 적 없는 곳이야..,,,
46,정말 판다의 발길이 닿지 않은 곳이구나.,,,
47,,,,1
48,아기판다 : 그나저나 대체 이 알 수 없는 글자들은 뭐지? ,,,
49,어..? 읽을 수 있을 것 같아.,,,
50,"무릉도원에 존재하는 황금죽순을 얻은 자, ~~~~~",8,,
51,"그 순간, 지도에서 엄청난 빛이 뿜어져나오더니",,,
52,거대한 문양으로 덮인 문이 열리기 시작한다.,,,
53,,9,,
54,아기판다 : 저 곳으로 들어가면 황금 죽순이 있는 ,,,1
55,<size=36><color=red>무릉도원</color></size>으로 갈 수 있다는 거겠지?,,,
56,좋아!! 황금 죽순을 찾아서 엄마에게 자랑스러운 아기 판다가 되겠어!,10,,
